Common_Name,count
Great Blue Heron,8
Common Raven,7
Yellow-throated Vireo,6
American Kestrel,5
Purple Martin,5
Cliff Swallow,5
Unidentified Swallow,5
Unidentified Warbler,4
Blackpoll Warbler,4
Red-headed Woodpecker,3
Bank Swallow,3
Sharp-shinned Hawk,3
Ring-necked Pheasant,2
Osprey,2
Peregrine Falcon,2
Great Horned Owl,2
Belted Kingfisher,2
Swainson's Thrush,2
Wood Duck,2
Magnolia Warbler,2
Hooded Warbler,2
White-eyed Vireo,2
American Redstart,2
Blue-headed Vireo,2
Pine Warbler,2
Green Heron,1
Black-throated Green Warbler,1
Yellow Warbler,1
Prothonotary Warbler,1
Black-and-white Warbler,1
Palm Warbler,1
Bay-breasted Warbler,1
Ovenbird,1
Savannah Sparrow,1
White-throated Sparrow,1
Bald Eagle,1
Unidentified Accipiter Hawk,1
Louisiana Waterthrush,1
Cooper's Hawk,1
Unidentified Owl,1
Black-throated Blue Warbler,1
Summer Tanager,1
Yellow-rumped Warbler,1
