Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,5/28/2008,6:42,6:52,Desiree Narango,1,0-2.5 min,Calling,<= 50 Meters,FALSE,Undetermined,Acadian Flycatcher,Empidonax virescens,178339,85824,ACFL,FALSE,TRUE,15.60000038,57,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,5/28/2008,6:42,6:52,Desiree Narango,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Blue-gray Gnatcatcher,Polioptila caerulea,179853,88038,BGGN,FALSE,FALSE,15.60000038,57,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,5/28/2008,6:42,6:52,Desiree Narango,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Acadian Flycatcher,Empidonax virescens,178339,85824,ACFL,FALSE,TRUE,15.60000038,57,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,5/28/2008,6:42,6:52,Desiree Narango,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,American Goldfinch,Spinus tristis,179236,95300,AMGO,FALSE,FALSE,15.60000038,57,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,5/28/2008,6:42,6:52,Desiree Narango,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,American Crow,Corvus brachyrhynchos,179731,87106,AMCR,FALSE,FALSE,15.60000038,57,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,5/28/2008,6:42,6:52,Desiree Narango,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Wood Thrush,Hylocichla mustelina,179777,87156,WOTH,TRUE,TRUE,15.60000038,57,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,5/28/2008,6:42,6:52,Desiree Narango,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,FALSE,TRUE,15.60000038,57,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,5/28/2008,6:42,6:52,Desiree Narango,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,15.60000038,57,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,5/28/2008,6:42,6:52,Desiree Narango,1,0-2.5 min,Calling,<= 50 Meters,FALSE,Undetermined,Hairy Woodpecker,Picoides villosus,178262,85739,HAWO,FALSE,FALSE,15.60000038,57,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,5/28/2008,6:42,6:52,Desiree Narango,1,7.5 - 10 min,Calling,50 - 100 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,15.60000038,57,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,5/28/2008,6:42,6:52,Desiree Narango,1,5 - 7.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Northern Flicker,Colaptes auratus,178154,84820,NOFL,FALSE,FALSE,15.60000038,57,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,5/28/2008,6:42,6:52,Desiree Narango,1,7.5 - 10 min,Calling,<= 50 Meters,FALSE,Undetermined,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,FALSE,FALSE,15.60000038,57,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,5/28/2008,6:42,6:52,Desiree Narango,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Wood Thrush,Hylocichla mustelina,179777,87156,WOTH,TRUE,TRUE,15.60000038,57,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,5/28/2008,6:42,6:52,Desiree Narango,1,0-2.5 min,Visualization,<= 50 Meters,FALSE,Undetermined,American Goldfinch,Spinus tristis,179236,95300,AMGO,FALSE,FALSE,15.60000038,57,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,5/28/2008,6:42,6:52,Desiree Narango,1,2.5 - 5 min,Calling,<= 50 Meters,FALSE,Undetermined,Blue-gray Gnatcatcher,Polioptila caerulea,179853,88038,BGGN,FALSE,FALSE,15.60000038,57,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,5/28/2008,6:42,6:52,Desiree Narango,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,White-breasted Nuthatch,Sitta carolinensis,178775,90935,WBNU,FALSE,FALSE,15.60000038,57,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,5/28/2008,6:42,6:52,Desiree Narango,1,7.5 - 10 min,Calling,50 - 100 Meters,FALSE,Undetermined,Yellow-billed Cuckoo,Coccyzus americanus,177831,89102,YBCU,FALSE,FALSE,15.60000038,57,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,5/28/2008,6:42,6:52,Desiree Narango,1,0-2.5 min,Calling,<= 50 Meters,FALSE,Undetermined,Ruby-throated Hummingbird,Archilochus colubris,178032,83884,RTHU,FALSE,FALSE,15.60000038,57,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2009,6/12/2009,6:15,6:25,Marshall Edens,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Acadian Flycatcher,Empidonax virescens,178339,85824,ACFL,FALSE,TRUE,20.39999962,96,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2009,6/12/2009,6:15,6:25,Marshall Edens,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,Male,Red-eyed Vireo,Vireo olivaceus,179021,93587,REVI,FALSE,FALSE,20.39999962,96,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2009,6/12/2009,6:15,6:25,Marshall Edens,1,0-2.5 min,Calling,<= 50 Meters,FALSE,Undetermined,Acadian Flycatcher,Empidonax virescens,178339,85824,ACFL,FALSE,TRUE,20.39999962,96,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2009,6/12/2009,6:15,6:25,Marshall Edens,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Scarlet Tanager,Piranga olivacea,179883,88071,SCTA,FALSE,TRUE,20.39999962,96,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2009,6/12/2009,6:15,6:25,Marshall Edens,1,2.5 - 5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,FALSE,TRUE,20.39999962,96,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2009,6/12/2009,6:15,6:25,Marshall Edens,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,FALSE,FALSE,20.39999962,96,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
